keyword	incl. RTs	n_twir	n_foc	corr	p	corr_ma	p_ma
airborne	True	1047	1804	0.2897598701803882	2.5834282629604515e-20	0.35725601656827116	1.3235255505690139e-30
cell	True	17156	8145	0.13471285355388726	2.4401818814982013e-05	0.20001433151363637	3.2108563907275746e-10
clusters	True	424	201	0.19569405004993237	7.165828531508728e-10	0.26779741588936096	2.0737369918542452e-17
coronavirus	True	20523	7245	0.6419960666250432	2.210819279120682e-114	0.8679078794528634	1.0153776247655844e-296
deaths	True	9674	3265	0.09098020120039621	0.004467568232704692	0.1888188646713435	3.036771140603873e-09
health	True	26437	12582	0.09767346956774116	0.0022638194060329952	0.18880593770784146	3.0444258708640663e-09
hydroxychloroquine	True	6066	1734	0.2166110889900308	8.1249852638135e-12	0.3690343319127955	1.0822569248151238e-32
immune	True	5171	4106	0.2020362747924102	1.93705807191132e-10	0.31893601030904123	2.1332420057784504e-24
isolated	True	1414	465	0.0068192902448111735	0.8315909274059896	0.008991012030031392	0.7796213182884404
ivermectin	True	3347	2114	0.3808244778149894	5.238807087600837e-35	0.6802338977324008	7.218370105960557e-133
masks	True	5878	5257	0.42417033777715346	7.398665820547537e-44	0.5862398370099762	1.0794004030423528e-90
myocarditis	True	1403	1649	0.17991328426303174	1.5421797077196226e-08	0.4164155078657311	5.2020803073344465e-42
pandemic	True	9016	8483	0.25686695046990987	3.716283249781764e-16	0.4938320612220713	7.828367735809552e-61
remdesivir	True	1224	741	0.46952361036260015	1.3061459145574198e-54	0.5964358094929706	1.3299788412242537e-94
sarscov2	True	2263	5825	0.2881766358992361	4.221450931853828e-20	0.4258844257895199	4.638833799884267e-44
seroprevalence	True	250	313	0.16473493563163685	2.3082647288199055e-07	0.262708191297876	8.628815980725114e-17
the	True	351407	93711	0.4366134586333784	1.199573455973937e-46	0.6072938260507245	6.360354695210184e-99
vaccine	True	31620	16438	0.33071723038952794	2.5797928741136188e-26	0.5243194247675715	1.1156608231753203e-69
